,name,price,description,trassmition,model,milage,fuel
6643,Mercedes-benz Classe A,"21,194 ",Tuv Au Neu/amg-design/navi/pdc/klima/sitz-heiz,Manual,2017,"39,000 km",Petrol
6644,Mercedes-benz Classe A,"31,203 ",", Night Progressive Spur 360 Pdc Multi",Automatic,2023,"17,077 km",Petrol
6645,Mercedes-benz Classe A,"35,297 ",D Progressive+led+navi+kamera+shz+carplay,Automatic,2024,"19,608 km",Diesel
6646,Mercedes-benz Classe A,"23,627 ",D Style Lm Pdc Spurh Ahk Klimaa Navi Led,Automatic,2021,"54,000 km",Diesel
6647,Mercedes-benz Classe E,"35,883 ",D 4matic/pano/totw/sthz/multibeam/acc/shz,Automatic,2019,"147,900 km",Diesel
6648,Mercedes-benz Classe E,"44,642 ",Coupe 4matic Amg*widescreen*pano*junge St*,Automatic,2018,"84,000 km",Petrol
6649,Mercedes-benz Classe E,"45,523 ",D 4m Limo Sd+360°+widescreen+totwinkel+mul,Automatic,2019,"109,500 km",Diesel
6650,Mercedes-benz Classe E,"82,277 ","E 4m Amg Sportpaket Night Amg 19"" Ils Headup",Automatic,2024,"12,014 km",Hybrid
6651,Mercedes-benz Classe E,"68,975 ",E 400 D 4m Cabrio Amg Line Night Burmester Ahk,Automatic,2021,"39,109 km",Diesel
6652,Mercedes-benz Classe E,"50,318 ",Cabrio 4matic Amg Line 1. Hand,Automatic,2018,"29,998 km",Petrol
6653,Mercedes-benz Classe E,"33,053 ",E400*ahk*r-cam*1hd*luft*led*distro*h&k*standheiz,Automatic,2015,"78,200 km",Petrol
6654,Mercedes-benz Classe E,"40,353 ",E 400 D 4m T-m Amg/night/wide/bur/dis/multi/ahk Sh,Automatic,2019,"113,690 km",Diesel
6655,Mercedes-benz Classe E,"87,105 ",E 4m Limo+amg+pano+ahk+superscreen+burm 4d,Automatic,2023,"6,694 km",Hybrid
6656,Mercedes-benz Classe E,"56,023 ",+distro.+standheizg.+amg+arimatic+burmester,Automatic,2022,"89,531 km",Diesel
6657,Mercedes-benz Classe G,"77,233 ","350 D 180 Kw (245 Ps), Autom. 7-gang, Allrad",Automatic,2016,"68,500 km",Diesel
6658,Mercedes-benz Classe S,"111,157 ",S 400 D 4m Lang Amg Line/standhzg./pano.-dach,Automatic,2021,"40,961 km",Diesel
6659,Mercedes-benz Classe S,"94,293 ",D 4m Amg+hud+burm+pano+dist+massage+360°+,Automatic,2022,"97,000 km",Diesel
6660,Mercedes-benz Classe S,"99,682 ",D 4m Limo Lang // Burm Amg Standh Distr,Automatic,2022,"51,654 km",Diesel
6661,Mercedes-benz Classe S,"93,783 ",S -klasse Maybach Lim.s 560 4matic Maybach,Automatic,2018,"65,000 km",Petrol
6662,Mercedes-benz Classe S,"59,333 ",L°4-matic°amg-line°pano°burmester°360°nach,Automatic,2018,"128,700 km",Petrol
6663,Mercedes-benz Classe V,"39,333 ",D Kompakt 9g-tronic Navi/temp/klima,Automatic,2020,"106,000 km",Diesel
6664,Mercedes-benz Classe V,"50,507 ",D V -klasse Edition 2020 Lang*7-sitzer*ahk*,Automatic,2020,"76,177 km",Diesel
6665,Mercedes-benz Classe V,"74,857 ","V 300 D Edition Lang, Amg-line, Airmatic",Automatic,2023,"24,500 km",Diesel
6666,Mercedes-benz Classe V,"47,482 ",D 9g-tronic Rise Kompakt 7 Sitzer Ahk,Automatic,2020,"33,900 km",Diesel
6667,Mercedes-benz Classe V,"43,333 ",D El.ture Liegepaket Sportpaket Kamera Ahk,Automatic,2019,"72,592 km",Diesel
6668,Mercedes-benz Classe V,"57,581 ","V -klasse V 220d, 250 Cdi/bt/d Avantg./edition 4",Automatic,2019,"52,604 km",Diesel
6669,Mercedes-benz Classe V,"41,443 ",V -klasse V 220 Cdi Edition Lang*ahk*kamera*,Automatic,2018,"126,900 km",Diesel
6670,Mercedes-benz Classe S,"53,473 ",D Lang*panorama*360°kamera*,Automatic,2020,"123,000 km",Diesel
6671,Mercedes-benz Classe S,"41,551 ",D 4matic*nachtsicht*massage*shz*kamera*,Automatic,2017,"144,660 km",Diesel
6672,Mercedes-benz Classe S,"90,810 ",D Kamera Distr Spur Pano Airmatic Pdc Shz,Automatic,2021,"11,611 km",Diesel
6673,Mercedes-benz Classe E,"30,113 ",Amg Styling Schiebedach/led Scheinwerfer/,Automatic,2016,"92,000 km",Petrol
6674,Mercedes-benz Classe E,"27,090 ",E -kl. Cabrio E 250/leder/navi/led/alu Amg,Automatic,2016,"149,000 km",Petrol
6675,Mercedes-benz Classe C,"34,693 ",/ C 450 T Amg 4matic Night Led Burmester,Automatic,2016,"115,000 km",Petrol
6676,Mercedes-benz Classe C,"42,923 ",C -klasse Cabrio C 43 Amg 4matic,Automatic,2017,"103,000 km",Petrol
6677,Mercedes-benz Classe C,"40,273 ","Coupe 4matic, Deutsches Fahrzeug",Automatic,2018,"65,892 km",Petrol
6678,Mercedes-benz Classe E,"64,427 ",E T Amg 360° Pano Distr. Spurhalt-ass Memory,Automatic,2023,"15,755 km",Hybrid
6679,Mercedes-benz Classe E,"38,282 ",De 4x4 Amg Multibeam Panorama Ahk Keyless,Automatic,2021,"97,500 km",Hybrid
6680,Mercedes-benz Classe E,"51,043 ",Avantgarde (shd Business Mbux-he 360° Totw,Automatic,2023,"21,081 km",Petrol
6681,Mercedes-benz Classe E,"27,843 ",De T 9g-tronic Exclusive Widesc~led~ahk~hud,Automatic,2020,"123,629 km",Hybrid
6682,Mercedes-benz Classe E,"41,165 ",E T Amg+night+led+fahrass+kamera+9g,Automatic,2022,"46,513 km",Hybrid
6683,Mercedes-benz Classe E,"45,091 ","Avantgarde Airmatic,keylessgo,acc,massage",Automatic,2019,"2,025 km",Petrol
6684,Mercedes-benz Classe E,"53,875 ",E 300 De 4m T Amg Line Led/pano/navi/ahk/360° Shd,Automatic,2023,"10,438 km",Hybrid
6685,Mercedes-benz Classe E,"43,081 ","De 4m T Amg, Night-p, Massage, Distr., Hud",Automatic,2020,"65,900 km",Hybrid
6686,Mercedes-benz Classe E,"64,397 ",E 300 E Amg Line Advancedp+guard 360°+memoryp+9g,Automatic,2024,"8,000 km",Hybrid
6687,Mercedes-benz Classe E,"39,218 ",De Leder/navi/xenon/memory/kamera/voll*,Automatic,2020,"47,000 km",Hybrid
6688,Mercedes-benz Classe E,"40,092 ",T 4matic Amg Nav+led+ahk+widescreen+pano,Automatic,2021,"114,750 km",Hybrid
6689,Mercedes-benz Classe E,"61,437 ",E T Avantgarde 360° Distr. Ahk Spurhalt-ass,Automatic,2024,"15,977 km",Hybrid
6690,Mercedes-benz Classe E,"75,787 ",E T Amg Fahrass Pano Burmester Distr+ Hud 9g,Automatic,2023,"14,201 km",Hybrid
6691,Mercedes-benz Classe S,"52,763 ",Coupe Amg 4matic Pano Hud 360° Burm Design,Automatic,2016,"127,681 km",Petrol
6692,Mercedes-benz Classe S,"60,683 ",Coupe Amg Pano Burm Memory Distr,Automatic,2016,"60,198 km",Petrol
